"final_review","review_posPer","review_decision"
"I gave this drive to someone as a gift and theyve been using it for backups for  months without issueMy review is based on another unit of this drive which I bought for myself some months later  Ive been using it as my primary desktop OSprograms drive since  so its about  months now  There have been no problems thus far  Its really quite a bargain for desktop use if TB is all you needThe actual capacity of this drive is GB Thats an old marketing trick which can be blamed for the pointless redefinition of all our real long established data measurements with those silly i characters I wont dwell on it any further but GB is the true capacity when measured in base  as all data is correctly measuredThis TB Blue drive uses a single TB platter spinning at rpm  There are  heads each side is GBA single platter design is usually better for reliability than having multiple smaller platters because there are fewer points of failure the assembly is lighter the motor doesnt have to work as hard and less heat is generatedSingle platter drives will also tend to be quieter but due to my configuration I cant judge the noise levelThere has been much discussion and testing among users in online forums including WDs forum which repeatedly show that the TB Blue and TB Black perform the same It appears the only benefit of the TB Black is a longer warranty Some Blacks are faster than this drive but the TB model is notCompared to a Green the Blue is faster owing to its faster rotation speed  The Green drives also have an intellipark feature which causes them to keep parking the heads after a few seconds of inactivity  This can cause laggy response and extra wear  I dislike that design  I believe power management functions should be left under the control of the operating system which can account for user preferences and what is happening in the rest of the system  Hardcoding this behavior into the drive is ridiculous in my opinion  The Blue behaves the way I prefer  it does not use intellipark it stays ready to roll until directed otherwise through power management commands from the OSI wish they were making the Blue series in larger sizes  it seems this TB is the end of the line  I dont care for the Greens and the Blacks are more expensivePartitionSector AlignmentPlease be aware that like most modern drives this drive uses KB sectors also known as advanced format  If you are using Windows  Windows XP or older as I am dont let Windows handle the partitioning of this drive  This is even an issue on unpatched versions of Vista and Windows   These older versions of Windows will believe that the physical sectors are  bytes when in reality they are KB  As a result the partitions will not be aligned with the physical sectors  It will still work but performance will be reducedWindows Server  and Windows XP and older do not have any update to fix this but its not a problem as long as you do the partitioning with a suitable rd party utility  I think Western Digital offers a tool for this but Ive never tried it  Once the partitions are set its fine to let Windows format themFor my Windows XP install I used a recent version of GParted to partition the drive  GParted can be downloaded and burned to a bootable CD or installed to a USB flash drive  Just use the option to align your partitions on MB boundaries  This is the easy way to ensure they are aligned correctly for the best performance  Then boot your WinXP install disc and let it format the partition that you already created  It sounds harder than it is its a minor hassle but its simpleIf you ever change the partitions once again use GParted or a similar utility that handles alignment for modern hard disks  Dont use the builtin XP partitioning  But again once the partitions are created its fine to let Windows format themThe builtin partitioning is fixed in Windows According to Microsoft it is fixed in Windows  after installing Service Pack   you would need to have that service pack before partitioning the drive not afterAgain according to Microsoft it is also fixed in Windows Vista after installing update MS KB   I assume this is automatically installed for people who use automatic updates but I dont know that for a fact  This wont do you any good if youre doing a fresh install and your install disc predates the required updateThe partition alignment detail Ive described above is an issue you will encounter with any recent hard drive its not unique to this model  If you ignore it performance will be affected but it will still work  You may see Seagate drives implying that they are immune from this but in reality they are not  All modern advanced format drives of any brand will perform better if sectors are properly aligned  But its not a big deal  just use a modern partitioning utility and then youre setI just tested this drive using Roadkils Disk Speed on Windows XP bit  Ill cut out all the variables and just give the linear transfer results with large block sizes  My drive has a few partitions and there are lots of files on it so this might affect resultsFirst partition first GB  MBsec linear readrd partition physical location range is from GB  MBsec linear readLast GB is unpartitioned so I cant test that rangeI dont think the random access test is useful because my partitioning greatly influences the resultTheres a test mode for the whole physical disk but its results are too inconsistentThis drive is a great bargain if you just need a simple inexpensive well performing rpm hard disk  I was tempted to try a Seagate SSHD but I couldnt justify the cost compared to this  If I was shopping today Id look carefully at the HGST and Toshiba offerings as well but from the WD side this is my pick for a general purpose TB desktop driveUpdate It is now   This drive is in my desktop PC used daily and still works fineSome months ago I ran a benchmark on this drive using the linux utility gnomedisks  The random access performance measured out to a ms average This is mediocre but expected from a quiet drive Screenshot is attached It also shows the transfer rate across the disk read test only I didnt test writes",60,"positive"
"Worth every cent  I had been putting off buying a much larger stroage drive Finally got one now I can store much more for much longer get bulk files off of my work drives etc  This drive is a storage drive not a performace drive I use it to store files movies etc For gaming and the such I either use my SSD or my WD BLACK hard Drive  I am glad I picked this up I have not had a single issue with it and it has freed me up to do more with my other drives as I no longer have to have them filled up with large files I rarely use Below are the color codes for WD drives I do not know how different their performance are from one to another or if it is all marketing but here it isBLUE  Solid performance and reliability for everyday computingBLACK  Maximum performance for power computingRED  Increased workloads and reliabilityPURPLE  Designed for Surveillance DVR storageGOLD  WD Gold HDD is designed for Servers",33.3333333333333,"negative"
"I had recently purchased an external hard drive case that is usb  and I used an old Seagate TB Barracuda I had laying around to expand my sons hard drive on his xbox one Unfortunately the old seagate didnt stand a chanceIt worked for a few weeks and then I got the dreaded TICK TICK TICK noisehard drive platter was ruinedNot sure what happened Anyway I already had the  enclosure with fan so I opted to get another bare hard drive to install in there I have always had Seagates and to be honest this is the first that has failed me But it is indeed  years old I installed the new WD in the enclosure in less than  minutes and plugged it in I formatted it for xbox one and installed his games there We played a few games and everything works like a charm With the GB transfer rate I dont think its going to be an issue Granted this is day one I write a ton of reviews so I will be back to let you know if there is any changes in the hard drivePRICE For what I have invested in the hard drive and the fan cooled enclosure it is still cheaper than buying an external hard drive Not by much as they are getting cheaper but someINCLUDED You should know all you are getting is the hard driveThere is nothing else in the box No instructions or cables or plugs or whatever you need to use for your  project This can be installed in a desktop PC that takes a  hard drive or a  hard drive enclosure  If you are unsure on how to install this please google itRemember you live in a video era and you have unlimited knowledge at your fingertipsEASE OF USE Simple PLug and Play You will need to format it for the xbox one Put it in a  USB  enclosure and plug it in Then follow the onscreen prompts Its as easy as clicking a buttonLike I said before I have always been a  Seagate fan because that is the first brand I got  years ago and it lasted this long This is the first WD I have had so I am keeping my fingers crossed on this one I do hope this review helps someone out there If you have any questions please feel free to ask If you found my review helpful let me know Lets keep making better buying decisions together Thank you for reading and as always Be Safe  Happy Shopping",55.5555555555556,"positive"
"this review is for the WD Blue TB SATA  Gbs  RPM MB Cache  Inch Desktop Hard Drive WDEZEX I purchased TWO of these drives delivered together for two custom computer builds I attempted to install Windows  on the first one and upon the first restart the computer went straight to the CHKDSK mode and it indicated bad sectors I restarted again and got a BSODSo OK no problem I installed the other new Hard Drive and the Windows  program loaded and ran just fine but I discovered that the other new Drive is beyond just being noisy on a Cold Start it actually screeches a little but it does quiet down to a more tolerable level in a minute or two when it warms up and so I told my customer about the problem and apologized for the inconvenience when he came to pick up his new computer and told him to bring it back for Hard Drive replacement if it did not quiet down after  some break in time He was not upset but all in all this is a pretty disappointing product experience The Good News is that Amazon makes the return process very easy a new Hard Drive was shipped out and the Bad one was returned in the box it came in with a printed return label from my copy machine Five Stars for Amazon customer service and only Two stars for the Sorry performance of the Hard Drives These drives are the very first drives from Western Digital that I ever had a problem with and unlike previous drives that I purchased from WD I must say that they actually feel very cheap and light My first Red Flag with these two Drives was that neither New Drive needed to be initialized by windows before they could be formatted and that is the first time that has ever happened with a Brand New Hard Drive traditionally brand new hard drives need to be initialized before they can be Formatted and used and that made me suspicious that these May Not in fact be brand new I dont know but maybe something has changed in the Manufacturing process and perhaps all new hard drives come preinitialized now but if thats true that is new information to me I will update this post if there is any problem with the replacement drive that I receive But what I can say with absolute certainty that I will ONLY buy the Higher quality Western Digital RE Enterprise Hard Drives with the Yellow Label from now on they are worth the extra  at current prices just to make sure that I dont have to apologize to another customer for giving him a newly built computer with a subpar Hard drive inside",28.5714285714286,"negative"
"There are more than enough reviews of this disk as an internal drive My interest however was to use it as an external USB drive and that is what this review focuses onThe  WD Blue TB hard disk drive WDC WDEZEXWNA has attractive properties for storage purposes a formatted capacity of  GiB out of its nominal  GiB usually described by manufacturers as  GB a  rpm rotation rate a  MB cache a SATA III interface with a GBs speed and SMART monitoringIt is not the top of the line of Western Digital SATAs at least in terms of the length of their limited warranty  years for the WD Blue versus  years for the Black although there are claims of not too different benchmarks but because of its relatively low price it has a drive value index similar to the top nonSSDs  This makes the WD Blue TB a good choice as an external USB drive for the storage of media or data in particular incremental backups especially when disk writes caching is enabled since top performance values are unrealistic for serving as a guide for external USB devices where performance is primarily dictated by the USB specs and manufacturing complianceThe figure below shows results of a free benchmark app in wide use Crystal DiskMark for the Blue TB used as an external USB storage drive left table and to provide some perspective to these values for an internal SSD with a good performance as a system drive right table  the latter which was partitioned into two logical drives has a capacity of  GB and both devices are quite comparable in the fraction of used capacity ca  which is important since performance declines as a drive gets full  The first line in both tables are the averages of sequential  reads and  writes with multiple queues and threads for a relatively large data block this measures how quickly large files eg backups or multimedia can be read from or written to the drive  The second line are the averages of random  reads and  writes with multiple queues and threads for a small block this measures how quickly many small files eg when copying large app folders or loading programs during operating system startup can be read from or written to the drive  The third and fourth lines mirror the above two but using only a single queue and thread  The lower performance of the Blue TB is only due in part to USB transfer issues published data indicate that if used as an internal drive the values in the left table would have increased by less than two fold  Nevertheless its performance is quite appropriate for external storageI mounted the WD Blue TB vertically in a dualbay USB docking station and it is typically quiet but for some clicks when it starts spinning A negative finding is its temperature after many hours of use compared with a  WD Blue GB disk that warms up to about C F in the second bay of the open docking station the Blue TB gets hotter in the range of C  Temperature is often claimed to affect drive reliability but see Failure Trends in a Large Disk Drive Population by Pinheiro and coworkers  so I put close to the station a small USB fan with an adjustable speed set to a low value to keep it quiet which brings the Blue TB temperature back to the belowC range",66.6666666666667,"positive"
"I have a veritable rainbow of WD drives red green blue between my PC Drobo and newly built NAS and they are all real workhorses  I have yet to have any of them fail or misbehave even after  years  I know certain colors are best suited for certain applications but I find the blue drives to be the best bang for the buck and most versatile  I bought this most recent TB blue to install in an old PC that I turned into a Plex media serverhome made NAS  Ive been wanting to have a dedicated media server for some time and finally had the chance to do it but needed more storage space  The PC I had has a TB hard drive that I wanted to remain dedicated to running software and store all of my movies tv shows documentaries and kiddie crap haha on its own drive  I installed this the other day and loaded all my visual media on it I keep pictures and music on yet another drive and I still have room to spare  I immediately connected the new server to Plex through my Roku  and watched a movie p on the TV while streaming another to my phone and had no trouble whatsoever  I know a lot of the buffering problems stem from inadequate CPU and mine is good but just in case youre wondering these blue drives have no trouble streaming content from when youve got adequate transcoding power in your machine  A lot of people would tell you you need red drives but old blue does just fine in my experience and is so much cheaperFor those of you who are new to installing new hard drives its a piece of cake but just be aware that this drive does not come with any cables or mounting hardware so youll need to be sure you have your own SATA cable and an available power source cable as well as screws or whatever you need to mount it in your case  Also for the newbies you cant just plug and use youll need to go in to your drive manager and nameformat it before you can use it  This is also very very easy to do and only takes a few minutes and then youre ready to goI dont use these WD drives to boot and run software anymore its all about SSDs for that now  buy one it will change your life but I use these drives to hold and back up all of my data for me and I love them  You really cant get more storage and a more reliable drive for a better price than this  And dont be freaked out because the picture shows the inside of the hard disk this is a fully enclosed drive see pics  Hope this helps  Happy computing  I did NOT receive this for free or at a discount",57.1428571428571,"positive"
"It is my professional opinion based on decades of building upgrading and repairing PCs that Western Digital makes the most reliable hard drives in the marketplace I believe this TB hard drive from Western Digital continues their tradition of cool and quiet performance and outstanding reliability and this particular offering is in the sweet spot of cost per unit of storage where you get the most bang for your buckI replaced two TB hard drives with this single TB unit to double my capacity and reduce complexity my two TB drives were configured as a RAID stripe set which increases transfer speed but also doubles the risk of failure The upgrade was easy I was able to quickly move my files to the new drive and it is humming along nicely now at just over  capacityI use this to store all of my files I have an SSD for my mainsystem drive which stores the OS and applications and loads everything lightning fast I was concerned initially about the slower RPM rotation speed of this drive but it has not been a problem at all When I was transferring files to the new drive I was getting between MBsec which is great for a mechanical hard driveThe drive is warm to the touch but not hot I fully expect this drive to perform for years troublefree just like the Western Digital drives it replaced and the Western Digital drives that they replaced before them",50,"netural"
"Working in IT Ive come across many different hard drive vendors and Western Digital by far destroys the competition Ive seen Western Digital hard drives going strong for easily  years with no problems whatsoever These blues are fast quiet and of course economical When one of my clients needs a hard drive upgrade or when theirs goes out I drop in one of these and Im on my wayIf by some strange stroke of bad luck and one of these drives goes bad I simply head over to Western Digital support quickly get an RMA request filed and presto I have a new driveNow brands like SeagateIm lucky to get  years out of them If theres one brand I hate its them if a drive is dead unresponsive has errors makes noises runs hot theres a  chance its a Seagate Id rather use a potato than a Seagate Western Digital hands down",31.5789473684211,"negative"
"On a  Sony Vaio desktop I decided to take advantage of the free Microsoft upgrade to Windows  just to make sure I had another valid Windows  license in the box so to speak Because the Vaio is still in good shape I thought I might as well upgrade its hard drive as the GB exTivo drive I had in there was getting a bit noisy so I ordered this dirt cheap terabyte Western Digital drive Long story short Windows likes large hard disks it makes the operating system run faster due to the virtual memory it likes and at rpm and GBs SATA this is a pretty quick drive The install was painless I cloned the existing drive to the new drive updated Windows which became Windows  Pro and despite the aging Pentium the Vaio has a new lease on life and is impressively peppy The drive isnt just fast it is virtually noiseless and runs cool SMART tells me Back in the box should I need it",63.6363636363636,"positive"
"I never thought Id be leaving a notsogood review for a Western Digital hard drive  Ive favored WD drives for many years  A hard drive has to work reliably or its completely useless  So I dont give super high marks for the device just doing its job  The drive is working  The gripe I have is the drive isnt very well balanced  My computer now makes a droning sound when the new drive spins up and I can feel vibration on the outside of the case  Its yet to be seen if this will impact the drives life span  Ive never had a WD drive soundfeel like this  I hope WD isnt starting to let their quality control slip  Historically Western Digital is one of the safest  most reliable drives to buy  It will be nice when highcapacity solid state is cheap enough that spinning drives are no longer a consideration",60,"positive"
